# Pathway	VNF1S288	VNF2S289	VNF3S290	VNF4S291	VNF5S292	VTF1S293	VTF2S294	VTF3S295	VTF4S296	VTF5S297	VIF1S283	VIF2S284	VIF3S285	VIF4S286	VPF1S287	VPF2S288	VPF3S289	VPF4S290	VPF5S291	VNA1S233	VNA2S234	VNA3S235	VNA4S236	VNA5S237	VTA1S238	VTA2S239	VTA3S240	VTA4S241	VTA5S242	VIA1S243	VIA2S244	VIA3S245	VIA4S246	VIA5S247	VPA1S248	VPA2S249	VPA3S250	VPA4S251
season	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	rainy	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	103.898	104.005	94.872	100.383	101.09	93.8042	93.8042	86.7153	83.4065	84.2353	95.9665	70.0317	85.9566	93.2915	82.5316	82.5316	95.5701	82.9345	79.5977	84.1225	90.8342	77.3919	93.2794	84.542	83.4439	89.361	78.1373	88.9443	91.1976	93.297	93.6864	94.807	93.0952	95.7488	90.2985	96.8011	70.1498	93.8884
ARO-PWY: chorismate biosynthesis I	63.2071	63.2888	52.6746	60.6599	58.3784	55.8607	55.8607	52.5701	52.4111	56.4378	61.947	46.5685	51.5848	55.6591	55.7775	55.7775	64.6016	50.729	52.3256	51.8113	50.6009	54.0711	45.4133	50.2786	56.6155	56.5454	46.5439	48.7546	52.2789	54.4246	58.136	51.033	57.4755	47.7619	57.8472	61.3624	43.268	59.0035
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	11.3794	11.3569	10.8429	15.2799	9.73336	10.2501	10.2501	6.75338	9.78219	5.94037	8.57385	7.01605	6.48443	7.57936	8.41528	8.41528	13.1356	7.45994	13.3234	13.4884	7.70086	11.9346	10.1039	10.7887	7.98211	13.997	10.278	7.92995	9.49767	7.93394	8.01787	4.69196	7.61938	7.58156	6.95497	10.245	7.59857	11.5569
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	12.375	12.3609	7.80244	9.82044	8.32014	7.88651	7.88651	6.87292	11.7077	10.1451	13.5824	12.9457	14.322	12.313	11.8818	11.8818	14.9076	11.3569	11.3517	8.48424	8.47433	10.0961	7.61554	5.54076	12.4631	9.47807	9.78857	7.05227	11.8511	11.645	13.9374	10.5923	14.3209	13.6465	13.7529	13.7734	5.6539	12.7964
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	182.915	182.848	177.141	187.906	186.743	165.457	165.457	152.286	158.455	156.705	171.547	141.145	156.502	170.035	143.744	143.744	161.675	141.385	142.704	161.481	170.877	166.234	189.65	172.935	155.523	169.747	150.373	154.828	158.208	166.45	176.09	171.985	169.299	181.701	155.562	163.227	133.758	153.902
CALVIN-PWY: Calvin-Benson-Bassham cycle	44.3617	44.7447	35.8379	42.0246	37.3131	36.6535	36.6535	37.1992	35.9255	31.0178	38.3566	25.221	32.1815	37.2487	33.6229	33.6229	39.2364	34.1468	31.9835	28.9507	33.807	21.3291	33.3671	25.4818	28.0422	33.6169	27.9492	32.7155	32.4055	30.2477	32.5989	28.3517	30.2627	32.814	28.764	33.0422	21.4901	33.3856
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate"	2.28627	2.28861	1.19511	1.39622	1.69299	1.36434	1.36434	1.61455	1.78578	2.30229	1.53907	0.865876	0.905093	1.40929	1.20103	1.20103	2.13936	1.54705	0.792386	1.2059	0.949271	0	0.138745	0.271223	1.31031	1.2618	2.06372	1.44991	1.63255	1.33134	1.43322	1.40736	0.595971	0.519258	1.34216	1.58443	0	0.796736
CENTFERM-PWY: pyruvate fermentation to butanoate	0.510874	0.511397	1.00847	0.319311	0.342431	0.509897	0.509897	1.52682	0.843741	1.59355	0.622593	0.839239	1.08498	0.623398	1.9357	1.9357	2.21902	0	0	0	0	0	0	0	1.19312	0.565823	0.95616	0	1.34564	1.02257	1.2078	0	0	0	2.34684	0	0	1.97045
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	3.38985	3.39333	0.631515	0.903776	0.341117	1.99066	1.99066	1.62487	1.29566	1.04929	0	0	0	0	0.847342	0.847342	1.2649	0.856192	0.789434	0	0	0	0	0	0	0	1.13634	0	0	0.782959	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	51.4211	51.4738	52.4049	60.4346	48.9867	58.442	58.442	46.6537	51.8144	50.8685	60.3593	45.1023	53.7391	53.0747	53.4255	53.4255	64.1129	49.1404	51.5255	51.9403	43.5154	52.743	48.0449	52.2667	48.8948	59.1283	41.1905	41.4593	54.6079	46.3189	51.7543	49.3464	56.3833	46.1538	53.7722	63.8291	38.8922	61.0185
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	33.3953	33.4295	23.7753	33.1405	26.8868	23.7555	23.7555	25.9332	17.4735	26.9566	27.3188	15.8593	23.3293	25.4126	24.1045	24.1045	27.3763	17.7588	22.5754	16.6957	10.1661	17.7009	3.80947	19.6241	19.4209	17.5956	22.0372	18.6098	22.2157	17.3888	22.9494	17.3776	18.3915	13.9999	24.836	27.6061	16.4835	22.1047
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	68.7026	68.773	68.667	73.1016	64.1715	56.9947	56.9947	50.9003	49.5243	58.6634	63.8449	48.8885	53.6784	62.8237	57.3537	57.3537	68.2921	51.3829	56.321	49.3972	60.4326	55.4809	48.7308	55.9156	50.7533	53.0551	44.8854	45.1485	54.0023	52.1406	60.7026	54.4907	61.1385	61.3224	54.9643	60.4015	46.9246	57.0622
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	3.05334	3.05647	2.31509	4.18924	2.87951	4.29409	4.29409	4.52137	0.711331	2.05126	2.76604	2.34082	3.41829	2.96777	4.07101	4.07101	3.53616	2.1464	3.30968	0	2.07304	1.56601	1.38914	2.08519	3.77982	1.62191	2.49227	2.92055	2.86262	2.53115	3.76469	5.28135	3.93004	1.97832	3.78815	2.51591	0	3.10267
COLANSYN-PWY: colanic acid building blocks biosynthesis	25.5737	25.5399	24.0845	21.6524	26.5846	19.2988	19.2988	21.3844	17.939	21.37	16.719	12.3818	15.6593	20.6825	16.0515	16.0515	19.769	19.1873	15.2855	18.2863	21.6395	15.1244	18.6821	16.6348	17.0397	19.9262	20.5369	22.3977	16.9755	15.1308	19.5203	16.9628	18.7453	18.8325	17.4423	19.8947	13.5273	15.803
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	63.3357	63.4144	55.851	63.6276	61.4886	59.2801	59.2801	55.8468	55.6866	59.1778	65.5334	47.4674	55.4164	58.904	58.0631	58.0631	67.629	54.3322	54.0253	52.0615	51.5483	55.863	46.6843	52.4072	59.2813	60.5989	48.8233	51.9018	57.2702	57.5042	64.1828	55.5074	62.8204	52.1871	63.7019	63.7559	46.9127	65.3429
CRNFORCAT-PWY: creatinine degradation I	2.15969	2.1619	2.04769	2.5305	1.80415	1.91657	1.91657	1.09437	2.14488	1.97899	2.65542	2.07259	2.33572	2.12057	2.69759	2.69759	2.35359	3.04178	2.38407	0.703612	1.17494	2.03002	1.26042	2.43171	1.21284	1.72084	1.68933	2.02007	1.74656	1.78815	2.96248	2.91129	2.67213	3.20666	2.39635	2.06853	0	1.36388
DAPLYSINESYN-PWY: L-lysine biosynthesis I	45.5707	45.6218	36.0112	37.9461	43.3281	38.7993	38.7993	38.4155	39.0955	42.4903	41.7307	26.5633	37.6251	40.5657	33.9044	33.9044	46.5642	36.245	35.4858	29.4438	31.1763	30.7968	31.2132	33.3373	36.0608	38.4077	35.8594	39.0064	37.9226	36.4183	45.2538	35.0655	40.7385	39.7802	46.1569	41.0698	29.1775	39.6883
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0.937879	0.938841	1.05559	0.568966	0.272671	0	0	0.143792	0	0.479206	0	0	0	0	0	0	0.133386	0	0.150266	1.30851	0.286663	0.367336	0	0	0	0	0	0	0	0	0	0	0	0	0.20516	0	0	0
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis"	51.5957	51.6486	44.9447	52.3289	52.043	44.541	44.541	42.0361	33.2158	38.212	53.644	43.8163	48.2034	46.7665	53.88	53.88	52.7135	46.004	47.7279	42.3387	38.6038	41.8231	36.3737	46.3792	40.0663	38.8329	31.5638	38.1592	47.0595	40.3847	39.6354	37.4207	46.4483	31.9708	42.4767	43.2738	37.6499	46.4934
"FAO-PWY: fatty acid &beta;-oxidation I (generic)"	17.0764	17.0875	16.6893	13.8692	18.9936	13.8217	13.8217	16.8629	11.0911	12.9993	12.6336	11.0118	14.0709	13.7309	10.0007	10.0007	11.6447	7.89398	11.9895	11.1687	16.7787	15.0731	23.4931	24.4687	17.0612	20.4852	14.9836	14.7581	15.7576	9.57797	18.8394	16.0753	15.8707	16.0667	10.3087	14.8224	13.8342	13.2501
FASYN-ELONG-PWY: fatty acid elongation -- saturated	60.765	59.7932	47.8219	53.2312	60.7841	47.664	47.664	52.6515	50.8764	59.2281	56.6407	45.4562	52.5898	54.5123	52.3306	52.3306	70.0017	52.0223	44.0408	46.1068	48.6459	48.2099	42.5872	52.7554	54.9835	50.0961	54.5971	57.2936	60.0837	54.1042	62.1078	49.9	56.3867	49.5942	58.3812	57.193	36.8865	50.3655
FERMENTATION-PWY: mixed acid fermentation	29.7798	29.8187	25.3649	28.1568	29.7552	25.9542	25.9542	25.1386	24.0024	28.5864	30.99	22.0242	27.5038	27.2921	29.6855	29.6855	28.3967	29.1571	26.3301	24.2728	26.4647	28.6502	21.3571	25.4958	27.9755	23.7544	32.122	26.8645	27.3295	29.9564	33.6142	29.8338	31.4756	29.1736	34.148	28.8125	25.1785	30.9941
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	2.82649	2.82939	1.9371	2.56977	2.59094	1.725	1.725	2.40924	0	2.26745	1.89253	0	0	0.957768	0	0	2.8929	2.04941	0	0	0	0	0	0	2.9223	0	0	0	0	1.74449	2.75915	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation	0	0	0	0	0	0	0	0.353218	0	0	0.475937	0.482119	0	0.110982	0.399465	0.399465	0.408774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I	0.745396	0.74616	1.99749	1.63303	1.4267	1.58283	1.58283	1.8958	1.05035	1.31727	2.03021	0.514661	1.60751	0.881355	1.53907	1.53907	1.25878	0.927313	1.85518	2.2009	1.74942	2.18463	2.56105	1.27709	1.95162	1.9711	1.24423	1.09544	2.24773	0.771479	2.07358	1.6269	2.95342	2.18345	1.66195	1.73901	2.42359	2.9067
GALACTUROCAT-PWY: D-galacturonate degradation I	7.03663	7.04385	5.95288	6.18492	6.24191	3.16812	3.16812	4.15859	2.68593	5.41155	4.21123	4.09625	3.41564	5.73656	4.11573	4.11573	4.5303	3.8297	4.75306	3.82681	2.66283	6.3023	7.06267	5.21778	2.19433	3.89449	3.32942	3.44577	5.65358	2.52216	4.74629	4.50088	3.66613	4.2624	4.00166	5.53697	1.99741	3.97258
GALLATE-DEGRADATION-I-PWY: gallate degradation II	1.14868	1.14985	1.01206	0.995016	0.847709	0.62111	0.62111	1.33188	1.53382	0.340741	1.33803	1.03449	1.40635	1.65179	1.24219	1.24219	2.0064	0.924363	1.27417	1.21193	0	0.391444	1.42901	1.08502	1.50648	0.749175	2.05379	1.09262	0.996912	1.16674	1.08297	0.783695	1.07011	1.15906	1.2041	0.94523	0.83863	0.835581
GALLATE-DEGRADATION-II-PWY: gallate degradation I	0.730992	0.731741	0.890644	0.995016	0.623412	0	0	0	0	0	0.25386	0	0	0.952279	0.723536	0.723536	0.374984	0	0	0	0	0	1.42901	0	0	0	0	0	0	0	0.731415	0	0	1.15906	0	0	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.921822	0.922767	0	0	0	0	0	0	0	0.30168	0.422386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417815	0	0	0	0	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I	0.735833	0.736587	1.96894	1.57042	1.35815	1.56117	1.56117	1.82699	1.0378	1.23732	2.00727	0.507174	1.58317	0.867078	1.52261	1.52261	1.26351	0.919257	1.81056	2.14722	1.74148	2.12164	2.29012	1.25618	1.91251	1.89425	1.22992	1.10405	2.20554	0.764304	2.07571	1.59316	2.69844	2.16886	1.61308	1.69467	2.2991	2.93514
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.745396	0.74616	1.99749	1.63303	1.4267	1.58283	1.58283	1.8958	1.05035	1.31727	2.03021	0.514661	1.60751	0.881355	1.53907	1.53907	1.25878	0.927313	1.85518	2.2009	1.74942	2.18463	2.56105	1.27709	1.95162	1.9711	1.24423	1.09544	2.24773	0.771479	2.07358	1.6269	2.95342	2.18345	1.66195	1.73901	2.42359	2.9067
GLUCONEO-PWY: gluconeogenesis I	56.9955	53.6806	44.6452	52.3564	50.6547	44.0457	44.0457	43.9208	41.8802	44.6036	48.5048	36.5077	41.2275	45.0268	40.6999	40.6999	50.8594	43.7082	40.3753	41.5744	40.8833	44.2922	46.7973	45.0191	41.5711	46.9894	43.884	39.884	47.501	47.2873	48.0673	46.9684	47.5752	48.6155	44.2545	50.2162	34.9808	40.4457
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	55.9105	56.3451	84.8308	71.406	66.1096	78.5647	78.5647	89.6045	82.6611	66.7186	111.383	120.638	104.631	86.0008	116.813	116.813	85.8502	79.6083	100.557	82.1849	85.6043	106.742	82.4619	83.8935	87.8215	90.5682	83.0025	90.9405	87.3679	98.7743	110.304	92.4625	105.668	107.435	103.467	106.696	101.013	130.126
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation"	0	0	0	0	0	0.512618	0.512618	1.38304	1.07604	0	0.919712	0	0.811617	0.648233	0	0	1.40592	1.02749	0.832515	0	0	0	0	0	1.21029	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUDEG-I-PWY: GABA shunt	6.55218	6.55882	6.5004	6.5181	7.50468	7.75157	7.75157	5.89367	8.0038	6.59784	4.10956	3.88143	4.21169	6.45467	2.94614	2.94614	4.43072	4.31432	4.01709	5.93743	4.54349	10.4638	8.50854	6.83803	3.70358	5.409	4.47534	3.39794	5.2652	4.92344	4.58411	6.9719	4.70401	4.74521	2.69736	5.18406	4.3066	4.45462
GLUTORN-PWY: L-ornithine biosynthesis I	76.5271	76.613	68.556	74.5954	71.3782	68.7932	68.7932	64.9686	61.7759	64.6536	71.8954	50.4094	63.9666	67.9089	62.504	62.504	73.14	60.1305	59.2972	59.6975	65.1533	56.8577	63.4357	61.0144	64.936	65.8945	56.5828	66.2358	70.1954	62.6635	68.9864	63.4614	65.2744	71.4886	69.6727	71.5823	52.7067	69.6778
GLYCOCAT-PWY: glycogen degradation I	17.2228	17.2404	20.0226	18.6691	12.2311	13.0833	13.0833	10.9953	9.55108	10.8409	18.0208	18.3686	20.7887	16.7211	15.5582	15.5582	16.4561	12.0181	17.7696	15.7359	14.9681	23.3855	11.4074	18.4451	6.96613	6.88012	8.07669	4.66394	10.3765	13.816	9.23915	13.0639	13.8236	11.7865	13.8016	10.7533	14.6809	12.1414
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	74.3421	74.7287	96.6537	87.3594	80.6231	90.4047	90.4047	90.4439	91.0753	76.6389	120.682	122.128	112.568	97.9118	113.014	113.014	99.006	84.1978	102.74	93.8541	94.486	106.976	93.1745	91.1633	88.5197	96.6214	77.6965	87.1693	97.4029	102.795	102.841	85.3312	101.59	99.4792	98.9158	101.921	89.3551	109.437
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	0	0	0	0.715962	0.715962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	16.1987	16.0405	15.1935	15.5029	18.0464	8.6269	8.6269	11.6095	6.8863	14.8869	12.4636	10.5092	8.96158	15.0276	10.6842	10.6842	12.7535	10.7979	13.2485	9.01054	6.7183	15.5245	15.5493	13.1687	5.53156	9.71788	12.6559	8.78479	15.6162	6.81508	12.3757	12.5423	11.0062	10.8132	10.0986	14.5611	4.9646	10.2196
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	46.6667	44.9523	39.5731	44.8931	41.2105	39.921	39.921	40.1436	36.6694	39.5126	41.9471	32.0443	36.2793	40.9442	37.1758	37.1758	47.6907	40.0068	36.2094	34.514	35.7809	33.4151	38.8747	37.5429	37.3286	39.4184	38.9891	36.9143	44.019	42.3211	41.7732	45.8636	45.7151	43.1396	43.277	44.0979	32.6259	36.5487
GLYOXYLATE-BYPASS: glyoxylate cycle	44.0365	43.3414	38.462	41.6035	42.4319	42.1532	42.1532	39.9234	33.618	36.8888	40.8295	36.4379	39.883	38.6132	36.1165	36.1165	43.0588	36.2854	29.7506	38.3462	45.7134	45.4057	49.8546	43.3726	39.3158	40.6321	45.0133	42.278	47.1239	53.9908	46.876	48.7496	47.1102	52.2435	45.9604	45.5065	38.9518	41.5688
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	1.46847	1.46997	3.02385	2.33578	1.33351	2.07309	2.07309	1.95926	1.62807	1.3781	2.31389	1.10537	2.31999	1.70465	1.30258	1.30258	1.43617	1.46561	0.964993	2.02278	2.04761	1.50218	0	2.213	1.77885	0.814228	1.70928	0.436028	1.74611	2.24923	1.52914	2.32141	2.08572	1.19589	0	0	0	1.15651
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0	1.13021	2.81285	1.66554	0	0	1.55659	1.59061	0.974124	0.402708	0.497458	0	0.623292	0	0	0.634471	1.68537	0.300928	0.908305	1.41576	0	0.48062	0	0	0.78006	0	0.648265	0	0	0	0.832131	0	1.81753	1.10004	0	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	42.5784	42.6221	36.3264	40.6277	38.2477	39.8681	39.8681	33.5215	35.494	34.793	40.2426	29.8373	34.3225	34.7739	34.7097	34.7097	42.9348	33.5823	33.3953	35.2612	30.1272	33.7077	28.9122	29.6479	32.6321	39.1111	27.6057	30.0609	38.8068	34.6401	33.2137	30.1485	35.6935	30.7189	39.4013	37.5904	27.1583	35.2631
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	42.5784	42.6221	36.3264	40.6277	38.2477	39.8681	39.8681	33.5215	35.494	34.793	40.2426	29.8373	34.3225	34.7739	34.7097	34.7097	42.9348	33.5823	33.3953	35.2612	30.1272	33.7077	28.9122	29.6479	32.6321	39.1111	27.6057	30.0609	38.8068	34.6401	33.2137	30.1485	35.6935	30.7189	39.4013	37.5904	27.1583	35.2631
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	9.00817	9.01741	8.34806	8.07923	4.85328	12.2631	12.2631	5.225	4.06881	7.94454	11.7256	10.1354	10.8635	9.81129	10.7537	10.7537	13.0278	7.80883	10.8637	10.9348	5.48806	7.72793	6.01743	6.39712	3.43471	5.67694	2.9921	4.14052	6.26403	5.29795	7.97009	4.47909	4.14572	2.09172	9.63612	12.1865	9.71901	14.795
HISDEG-PWY: L-histidine degradation I	42.6883	42.7321	43.6239	45.6588	42.1317	49.0135	49.0135	42.6147	42.4455	37.1532	51.5912	41.4691	51.3024	47.314	49.1961	49.1961	58.3538	44.8702	44.8678	37.252	37.0006	42.5462	36.7122	48.8079	35.5016	46.5389	40.1981	38.2677	47.831	48.0504	46.7834	51.422	51.557	49.5	49.6254	52.7119	36.445	48.7506
HISTSYN-PWY: L-histidine biosynthesis	64.4051	64.3051	58.0133	64.1199	59.3207	59.4737	59.4737	58.9303	49.8614	61.6036	57.9535	38.6876	51.1187	54.5095	47.9105	47.9105	59.7854	47.1317	47.4257	54.1847	59.9886	56.251	50.7386	50.7038	59.571	60.168	58.0498	60.5775	59.0004	52.6275	67.1442	64.9084	63.3541	73.4032	61.6457	63.8555	44.0663	52.9633
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	2.95918	2.96208	0	4.35193	2.0445	0.439308	0.439308	2.75433	1.23891	2.6515	2.79044	0.933994	2.19088	3.37122	2.39461	2.39461	5.80224	2.99991	2.35985	0.905358	1.47379	0.592133	0	0.703034	1.90682	1.39816	1.45252	1.19499	1.47656	0.576814	3.15178	2.51055	2.02282	1.05707	0	3.41692	0	0.672322
HSERMETANA-PWY: L-methionine biosynthesis III	105.683	105.554	99.6806	102.298	101.908	94.5495	94.5495	89.5186	95.4137	91.2325	99.8759	78.0993	93.6779	99.2175	79.2232	79.2232	95.1252	80.9562	78.9113	90.0788	99.9493	96.8964	110.672	99.4321	90.8771	101.942	88.8921	88.036	92.0487	100.174	104.279	100.826	109.399	109.697	96.1831	100.7	83.7472	86.6173
ILEUDEG-PWY: L-isoleucine degradation I	0	0	0	0.788498	0	0	0	1.09717	0	0	0.400186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87731	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	192.353	192.455	185.5	197.177	197.224	172.232	172.232	159.657	167.687	164.416	182.814	150.968	166.209	180.651	152.66	152.66	171.863	149.291	151.207	168.048	177.981	174.717	196.116	182.52	161.226	174.522	157.455	162.072	163.184	176.772	184.611	182.812	179.005	191.219	161.457	170.061	140.385	160.343
