feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5690..TCA.cycle.II..plants.and.fungi.	season	rainy	-6.04936315789474	1.04118509786261	38	38	1.37396212151246e-06	7.96898030477227e-05
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	season	rainy	8.83855789473685	1.65083718964538	38	38	5.4907281427227e-06	0.000298558342760547
PWY66.409..superpathway.of.purine.nucleotide.salvage	strategy	DT	-7.73427055555554	1.52155172899686	38	38	1.24774954950481e-05	0.000638554181217167
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis	strategy	DT	-3.99728088888889	0.789464199069162	38	38	1.32500938388697e-05	0.000640421202212038
PWY.7118..chitin.deacetylation	strategy	DT	-7.27355888888888	1.45051504182413	38	38	1.53568506935767e-05	0.000669867725646116
TCA..TCA.cycle.I..prokaryotic.	strategy	DT	-12.5532488888889	2.50386250678762	38	38	1.53992580608303e-05	0.000669867725646116
X12DICHLORETHDEG.PWY..1.2.dichloroethane.degradation	strategy	DT	-1.24478830555555	0.250554866909494	38	38	1.76634798656509e-05	0.00073177273729125
PWY.6803..phosphatidylcholine.acyl.editing	strategy	DT	-1.43634621111111	0.298209917989923	38	21	2.78869790625856e-05	0.00110280326292952
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.	season	rainy	-2.06859315789474	0.437442421868383	38	38	3.62929727074702e-05	0.00121441870213458
PWY.3781..aerobic.respiration.I..cytochrome.c.	season	rainy	8.19583263157895	1.72607108306904	38	38	3.42384346616006e-05	0.00121441870213458
PWY.6549..L.glutamine.biosynthesis.III	season	rainy	-4.32054736842105	0.907154562870478	38	38	3.27813687854289e-05	0.00121441870213458
PWY.8073..lipid.IVA.biosynthesis..P..putida.	season	rainy	-2.06859315789474	0.437442421868383	38	38	3.62929727074702e-05	0.00121441870213458
THISYN.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.I	season	rainy	-2.94264052631579	0.62397480191069	38	12	3.77215484366532e-05	0.00121547211629216
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	strategy	DT	-3.180113	0.678360417657932	38	38	4.10257716908743e-05	0.00127472933468074
CALVIN.PWY..Calvin.Benson.Bassham.cycle	season	rainy	6.24894210526316	1.36938351363506	38	38	5.95398342930375e-05	0.00161873924484196
GLYOXYLATE.BYPASS..glyoxylate.cycle	season	rainy	-6.12157368421053	1.33536162071476	38	38	5.59441714391698e-05	0.00161873924484196
PWY.6992..1.5.anhydrofructose.degradation	strategy	DT	-1.61001494444444	0.350573736531717	38	38	5.45740167022615e-05	0.00161873924484196
TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA	strategy	DT	-8.68040944444444	1.90158004548698	38	38	5.9271397934263e-05	0.00161873924484196
CHLOROPHYLL.SYN..3.8.divinyl.chlorophyllide.a.biosynthesis.I..aerobic..light.dependent.	season	rainy	1.01561257894737	0.22491357776678	38	17	6.86427092972583e-05	0.00180967142692772
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	strategy	DT	-14.1756955555555	3.15938546323757	38	38	7.47632472023924e-05	0.00185840071617375
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	strategy	DT	-1.44003504444444	0.320774432724528	38	28	7.4233313885986e-05	0.00185840071617375
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.	strategy	DT	-4.05856777777777	0.922747547058577	38	38	9.72112730561262e-05	0.00234927243218972
PWY0.1533..methylphosphonate.degradation.I	season	rainy	0.380004578947369	0.0867007034407608	38	19	0.000101745890559803	0.00239240337262239
PWY.6946..cholesterol.degradation.to.androstenedione.II..cholesterol.dehydrogenase.	season	rainy	0.764943631578947	0.175325810841622	38	29	0.000107933280885233	0.00247110406237244
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	season	rainy	7.09413157894737	1.64503466955106	38	38	0.000125296814765238	0.00269436593658218
P562.PWY..myo.inositol.degradation.I	season	rainy	0.306832526315789	0.071059699571125	38	12	0.000123280083652673	0.00269436593658218
PANTO.PWY..phosphopantothenate.biosynthesis.I	season	rainy	8.92303684210527	2.07130235383772	38	38	0.000126975865976861	0.00269436593658218
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	season	rainy	7.52611052631579	1.77141331256359	38	38	0.000151180816691927	0.00313115958407477
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I	season	rainy	-0.834601421052631	0.196915615159051	38	12	0.000155813883928442	0.00313115958407477
PWY.7090..UDP.2.3.diacetamido.2.3.dideoxy..alpha..D.mannuronate.biosynthesis	season	rainy	0.526831105263158	0.124462332203207	38	18	0.00015835749620608	0.00313115958407477
PWY3O.4107..NAD.salvage.pathway.V..PNC.V.cycle.	strategy	DT	2.54340538888889	0.604655500632138	38	38	0.000171151022413915	0.00330891976666902
GLUDEG.I.PWY..GABA.shunt	strategy	DT	1.97080066666667	0.471180454119785	38	38	0.000183445935291694	0.00346952095008204
PWY.101..photosynthesis.light.reactions	season	rainy	4.17099215789474	1.00248420487599	38	38	0.000195657964383002	0.00362175380879174
PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.	strategy	DT	-8.43860722222222	2.03189856341893	38	38	0.000200047392450659	0.00362585898816819
HISDEG.PWY..L.histidine.degradation.I	strategy	DT	-6.11378555555555	1.48225284589127	38	38	0.000217345857151428	0.00385899787187229
PWY.6588..pyruvate.fermentation.to.acetone	strategy	DT	-1.51084659444444	0.371157486023546	38	29	0.000254373245195559	0.00442609446640272
LIPASYN.PWY..phospholipases	strategy	DT	-3.36087722222222	0.827981825429954	38	7	0.000263028933028572	0.00445148898233025
PWY.6527..stachyose.degradation	strategy	DT	-3.94628444444444	0.976279908076202	38	37	0.000276299316144636	0.00445148898233025
PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic.	season	rainy	2.73294736842105	0.675859943950381	38	38	0.000275103866844527	0.00445148898233025
PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic.	season	rainy	2.73294736842105	0.675859943950381	38	38	0.000275103866844527	0.00445148898233025
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	season	rainy	5.81161631578947	1.44313725877902	38	38	0.0002886620716042	0.00456610913264826
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	season	rainy	6.70148578947369	1.67693859179675	38	38	0.000315595973463986	0.00490300887345835
PWY.6901..superpathway.of.glucose.and.xylose.degradation	strategy	DT	-5.71974722222222	1.43569114980719	38	38	0.000327015175327181	0.00499128425499382
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	strategy	DT	-6.56473333333333	1.6531284290404	38	38	0.000339401671928399	0.00509102507892599
PWY.6270..isoprene.biosynthesis.I	season	rainy	7.24004210526316	1.83926345196675	38	38	0.000375136919414317	0.00553167999814332
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis	strategy	DT	3.40699333333333	0.887469292810331	38	38	0.000496071203584727	0.0067757862727621
LIPASYN.PWY..phospholipases	season	rainy	3.18398894736842	0.826834240920815	38	7	0.00047958186201635	0.0067757862727621
PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.	season	rainy	4.95356315789474	1.28962640713137	38	38	0.000493122737544688	0.0067757862727621
PHOTOALL.PWY..oxygenic.photosynthesis	season	rainy	1.35842415789474	0.354616116643414	38	33	0.000507991096432279	0.0067757862727621
PWY.5659..GDP.mannose.biosynthesis	strategy	DT	2.21085372222222	0.576415486092006	38	38	0.000501026354964731	0.0067757862727621
PWY.6700..queuosine.biosynthesis.I..de.novo.	season	rainy	6.82585263157895	1.78381147544456	38	38	0.000514025165519884	0.0067757862727621
REDCITCYC..TCA.cycle.VI..Helicobacter.	season	rainy	-3.23974210526316	0.845904110980321	38	38	0.000509113732194818	0.0067757862727621
PWY66.389..phytol.degradation	strategy	DT	-3.68949111111111	0.969843519730282	38	38	0.000547858188115849	0.00711397945762371
SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis	strategy	DT	-4.36420833333333	1.165298107875	38	38	0.000648056938263638	0.00829131671013773
PWY.5723..Rubisco.shunt	season	rainy	10.9222210526316	2.96473555433103	38	38	0.000770322056832559	0.00971275636875835
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	season	rainy	8.41777894736843	2.31249699717417	38	38	0.000871714006741173	0.0106815659980961
PWY.6703..preQ0.biosynthesis	season	rainy	8.83047368421054	2.42532740189138	38	38	0.000869718809245473	0.0106815659980961
PWY.5913..partial.TCA.cycle..obligate.autotrophs.	strategy	DT	-3.79762111111111	1.04737173040158	38	38	0.000907343518787307	0.0109637341853466
ORNDEG.PWY..superpathway.of.ornithine.degradation	strategy	DT	1.7851745	0.494655765393255	38	38	0.000951462983487393	0.0113393533648497
FAO.PWY..fatty.acid..beta..oxidation.I..generic.	strategy	DT	3.44913222222222	0.96958904405763	38	38	0.0010990643758929	0.0118047655188497
P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.	season	rainy	-8.75681578947369	2.4429448122581	38	38	0.00101866235415366	0.0118047655188497
P122.PWY..heterolactic.fermentation	season	rainy	1.25617157894737	0.352914397132692	38	8	0.0010926209876233	0.0118047655188497
PWY.1042..glycolysis.IV	season	rainy	5.37524210526316	1.50926437228287	38	38	0.00108631758036749	0.0118047655188497
PWY.5667..CDP.diacylglycerol.biosynthesis.I	season	rainy	3.11059052631579	0.871277932834013	38	38	0.00106042079575102	0.0118047655188497
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	strategy	DT	-2.50908021111111	0.703548043856774	38	36	0.00107179407873041	0.0118047655188497
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	season	rainy	3.11059052631579	0.871277932834013	38	38	0.00106042079575102	0.0118047655188497
REDCITCYC..TCA.cycle.VI..Helicobacter.	strategy	DT	-3.01634833333333	0.847078163052593	38	38	0.00108817459900111	0.0118047655188497
PWY.7084..nitrifier.denitrification	strategy	DT	0.39806205	0.112395543128902	38	12	0.00114817370473941	0.0121688974834615
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	strategy	DT	-2.18245682222222	0.616923940304153	38	36	0.0011609407943992	0.0121688974834615
POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.	strategy	DT	-1.30554116666667	0.371320632841273	38	38	0.00123310523322144	0.0127714470583649
PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III	strategy	DT	-2.20088002777778	0.627500999390837	38	36	0.00126276545281794	0.0129247758111953
PWY0.1477..ethanolamine.utilization	strategy	DT	-4.324465	1.24615079445999	38	38	0.00139937704079304	0.0141564886684877
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	season	rainy	3.34495684210526	0.982956392925376	38	38	0.00168414873889882	0.0165746780215429
PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.	strategy	DT	-1.9942045	0.586205115546903	38	38	0.00168908250773585	0.0165746780215429
PWY.6594..superpathway.of.Clostridium.acetobutylicum.solventogenic.fermentation	strategy	DT	-0.863047327777777	0.25380085906983	38	23	0.00169557051024979	0.0165746780215429
P161.PWY..acetylene.degradation..anaerobic.	strategy	DT	-4.581455	1.35972467640383	38	38	0.00184614434248476	0.0178460619773527
UNINTEGRATED	strategy	DT	-7234.93888888887	2161.32612461151	38	38	0.00196005056562324	0.0185352607836111
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I	strategy	DT	-7.69539944444443	2.29765338021899	38	38	0.00195051650695063	0.0185352607836111
FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage	season	rainy	1.11826568421053	0.336350663104337	38	16	0.00208523022251365	0.019299471208371
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	strategy	DT	-2.95178288888889	0.887455842253529	38	36	0.00207722038955048	0.019299471208371
PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis	season	rainy	0.755026684210527	0.227838603465124	38	16	0.00214750141425607	0.0196665918989766
GALACTARDEG.PWY..D.galactarate.degradation.I	season	rainy	-0.562751789473684	0.17140641819163	38	38	0.00233387939734113	0.0207191334253753
GLUCARDEG.PWY..D.glucarate.degradation.I	season	rainy	-0.534092368421052	0.162614157236818	38	38	0.00232586620098516	0.0207191334253753
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	season	rainy	-0.562751789473684	0.17140641819163	38	38	0.00233387939734113	0.0207191334253753
PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II	strategy	DT	-1.92056033333333	0.586863403194079	38	25	0.00240142238439269	0.0211034088325418
FUCCAT.PWY..fucose.degradation	season	rainy	0.138418947368421	0.0426929568813875	38	7	0.00260639439803027	0.0226507372340298
PWY.6859..all.trans.farnesol.biosynthesis	strategy	DT	-0.972904777777777	0.300380750679653	38	38	0.00262956834555978	0.0226507372340298
PWY.7413..dTDP.6.deoxy..alpha..D.allose.biosynthesis	season	rainy	0.635145263157895	0.196613241978554	38	21	0.00269015497780058	0.0229454395165344
PWY.6215..4.chlorobenzoate.degradation	season	rainy	0.473731473684211	0.147198544281601	38	26	0.00277906079943142	0.0232479124567821
PWY0.1061..superpathway.of.L.alanine.biosynthesis	strategy	DT	-3.74378705555555	1.16210920252297	38	38	0.00275509437625965	0.0232479124567821
PWY66.367..ketogenesis	season	rainy	2.75249263157895	0.859738474772694	38	38	0.00290677081564256	0.0240846724724669
PWY.5741..ethylmalonyl.CoA.pathway	strategy	DT	-0.694373072222222	0.217396580985879	38	36	0.00296573885334146	0.0243414415321422
UNMAPPED	strategy	DT	7488.76666666678	2356.15704115227	38	38	0.00309239264733149	0.0247318427502304
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	season	rainy	5.41267368421053	1.70227351862829	38	38	0.00308175350079812	0.0247318427502304
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	strategy	DT	-3.09697055555555	0.974615931897567	38	38	0.0030985871951438	0.0247318427502304
PWY.3801..sucrose.degradation.II..sucrose.synthase.	season	rainy	2.82118684210527	0.898302359892054	38	27	0.00341975166964738	0.0268034590323713
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	season	rainy	4.73822105263159	1.50827746462998	38	38	0.00341156837631972	0.0268034590323713
PWY.7159..3.8.divinyl.chlorophyllide.a.biosynthesis.III..aerobic..light.independent.	strategy	DT	3.13816683333333	1.00264493387549	38	35	0.00351810086371551	0.0273281049235044
PWY.3841..folate.transformations.II..plants.	season	rainy	6.84454736842106	2.19304096047787	38	38	0.00360164370925748	0.0277294692659647
PWY.7820..teichuronic.acid.biosynthesis..B..subtilis.168.	season	rainy	0.347872315789474	0.112352573548235	38	18	0.00384539907349885	0.0293464666135439
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	season	rainy	0.416816473684211	0.136422013729011	38	11	0.0042824340935207	0.0321182116213568
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	season	rainy	3.82918421052632	1.25647490526105	38	38	0.00437075225143802	0.0321182116213568
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic.	season	rainy	3.82918421052632	1.25647490526105	38	38	0.00437075225143802	0.0321182116213568
PWY.6834..spermidine.biosynthesis.III	season	rainy	-0.438485789473684	0.143973157015868	38	38	0.00439318067004766	0.0321182116213568
PWY.7052..cyanophycin.metabolism	strategy	DT	-0.370521044444444	0.121477367536101	38	33	0.00434148885078662	0.0321182116213568
PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle	season	rainy	0.938105052631579	0.31182097826328	38	9	0.00484082589593654	0.0345934616796142
PWY.5741..ethylmalonyl.CoA.pathway	season	rainy	0.652949736842105	0.217095268878515	38	36	0.00485103715507233	0.0345934616796142
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian.	strategy	DT	4.28812222222222	1.42324293143885	38	38	0.00478499158804195	0.0345934616796142
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	strategy	DT	6.09077666666666	2.02965159246692	38	38	0.00493728386360715	0.0349222517181969
PWY.6396..superpathway.of.2.3.butanediol.biosynthesis	season	rainy	0.403180157894737	0.134767032395633	38	22	0.00505706370263975	0.0354810114620692
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	season	rainy	5.28135789473685	1.7800200704324	38	38	0.005391219671922	0.0375228889165771
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	season	rainy	4.91870526315789	1.67747644160524	38	38	0.00589851280317678	0.040407134950896
PWY490.3..nitrate.reduction.VI..assimilatory.	season	rainy	1.40302842105263	0.47838790944326	38	38	0.00588909047655057	0.040407134950896
PWY.6630..superpathway.of.L.tyrosine.biosynthesis	season	rainy	3.64972631578947	1.24747867333186	38	38	0.00599841418722119	0.0407634160600454
PWY.7900..glycogen.biosynthesis.III..from..alpha..maltose.1.phosphate.	season	rainy	0.230155736842105	0.0787469728911004	38	16	0.00604423065717915	0.0407634160600454
CATECHOL.ORTHO.CLEAVAGE.PWY..catechol.degradation.to..beta..ketoadipate	season	rainy	0.505093736842105	0.17391760675367	38	36	0.0063385696729364	0.0422021776337713
DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.	strategy	DT	0.290816477777778	0.100272452292583	38	13	0.00640308902029633	0.0422021776337713
PWY.6936..seleno.amino.acid.biosynthesis..plants.	strategy	DT	-3.43090388888889	1.18205503240656	38	38	0.0063666219022326	0.0422021776337713
PWY.7118..chitin.deacetylation	season	rainy	-4.18980526315789	1.44850462499957	38	38	0.00653162879328843	0.0427256921064732
PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.	season	rainy	0.686543368421053	0.237864584645673	38	36	0.00663651190515788	0.0427686322776841
PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate	season	rainy	0.686543368421053	0.237864584645673	38	36	0.00663651190515788	0.0427686322776841
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis	strategy	DT	6.56410888888889	2.28203663541902	38	38	0.00680572767520291	0.0435366402751951
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation	strategy	DT	-0.429918333333333	0.14988117125791	38	18	0.00694664527235246	0.0441137327514353
PWY.6606..guanosine.nucleotides.degradation.II	season	rainy	1.10335342105263	0.385345601647834	38	36	0.00703775650925812	0.0441774400985964
PWY0.1296..purine.ribonucleosides.degradation	strategy	DT	-3.75559777777778	1.31216315590968	38	38	0.00705823468241942	0.0441774400985964
PWY66.398..TCA.cycle.III..animals.	strategy	DT	3.34318455555556	1.17845559838211	38	38	0.00752566570807548	0.0467666369001833
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I	season	rainy	1.08248205263158	0.383034375782734	38	34	0.00773551887808241	0.0477297973328489
MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis	season	rainy	2.02460957894737	0.719544232683407	38	34	0.00798065800420194	0.0482164754420534
METSYN.PWY..superpathway.of.L.homoserine.and.L.methionine.biosynthesis	season	rainy	1.82977673684211	0.649271773862438	38	34	0.00789117811436222	0.0482164754420534
PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.	season	rainy	1.97867526315789	0.703020523250765	38	34	0.00796463233466437	0.0482164754420534
PWY.7560..methylerythritol.phosphate.pathway.II	season	rainy	4.46127368421052	1.59001936964671	38	38	0.00814233039467978	0.0488539823680787
PWY.7254..TCA.cycle.VII..acetate.producers.	season	rainy	-3.86672105263158	1.38344770259984	38	38	0.0083673298367728	0.0498601161506324
PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis	season	rainy	5.91749736842105	2.12233473019181	38	38	0.00851155786279487	0.0503745261267452
PWY.6748..nitrate.reduction.VII..denitrification.	season	rainy	0.0507347473684211	0.0183199900588688	38	6	0.00892406180639057	0.0521069380641597
PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type	strategy	DT	-2.37103838888889	0.855372102201265	38	38	0.00886664755673661	0.0521069380641597
PWY.7268..cytosolic.NADPH.production..yeast.	strategy	DT	-0.9634695	0.348711473781841	38	35	0.00906894319054087	0.052251526991858
PWY.7269..mitochondrial.NADPH.production..yeast.	strategy	DT	-0.646910155555555	0.233968648835969	38	35	0.00902355661159904	0.052251526991858
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate	strategy	DT	-0.479993644444444	0.173961303308528	38	24	0.00915439345483083	0.0523968572743607
CRNFORCAT.PWY..creatinine.degradation.I	strategy	DT	-0.530961288888888	0.193570647340576	38	37	0.00953315545225949	0.0528270397672978
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.	season	rainy	2.49575684210526	0.907399663432659	38	38	0.00935699165005592	0.0528270397672978
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.	strategy	DT	-1.630925	0.594051213829686	38	37	0.00947514823248861	0.0528270397672978
PWY.6948..sitosterol.degradation.to.androstenedione	season	rainy	0.922202263157895	0.335877221988581	38	37	0.00946983325319762	0.0528270397672978
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	season	rainy	2.33544263157895	0.848690442676487	38	38	0.00932499653585156	0.0528270397672978
PWY.5030..L.histidine.degradation.III	season	rainy	0.938415368421053	0.342783866596055	38	24	0.00966141350668066	0.0531989224734948
RHAMCAT.PWY..L.rhamnose.degradation.I	strategy	DT	-0.386994927777778	0.142100290089999	38	35	0.0100102738898388	0.0547731967557218
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.	season	rainy	5.76225789473684	2.12886173034891	38	38	0.0104333799817441	0.0559691001768158
PENTOSE.P.PWY..pentose.phosphate.pathway	strategy	DT	-4.51426833333333	1.67259926510936	38	38	0.0106365299882139	0.0559691001768158
PWY.2942..L.lysine.biosynthesis.III	strategy	DT	3.93929111111111	1.45465480884073	38	19	0.0103990776342321	0.0559691001768158
PWY.5675..nitrate.reduction.V..assimilatory.	strategy	DT	1.77331355555555	0.657430685752211	38	38	0.0106791616429327	0.0559691001768158
PWY.702..L.methionine.biosynthesis.II	strategy	DT	-1.92406611111111	0.710308847328107	38	38	0.0103806431219051	0.0559691001768158
PWY5F9.12..biphenyl.degradation	strategy	DT	-0.416436266666666	0.154159075267056	38	30	0.0105737893837992	0.0559691001768158
PWY66.389..phytol.degradation	season	rainy	2.61887894736842	0.968499314621729	38	38	0.0105027915152575	0.0559691001768158
PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation	season	rainy	0.614314736842106	0.229542254838156	38	16	0.0112504212789821	0.0582611101947287
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	season	rainy	0.857530947368422	0.320329838702513	38	28	0.0112292049227682	0.0582611101947287
UNINTEGRATED	season	rainy	5710.15789473685	2158.33052216756	38	38	0.0121308879275896	0.0598128019206493
NADSYN.PWY..NAD.de.novo.biosynthesis.II..from.tryptophan.	season	rainy	1.33264052631579	0.503974873808962	38	36	0.0121719246482654	0.0598128019206493
PWY.5651..L.tryptophan.degradation.to.2.amino.3.carboxymuconate.semialdehyde	season	rainy	0.991535789473684	0.373093665612327	38	36	0.0117794379484562	0.0598128019206493
PWY.5837..2.carboxy.1.4.naphthoquinol.biosynthesis	strategy	DT	0.394404766666667	0.149408105051816	38	18	0.012306312119306	0.0598128019206493
PWY.5897..superpathway.of.menaquinol.11.biosynthesis	strategy	DT	1.11584727222222	0.422437749626354	38	18	0.0122561514021977	0.0598128019206493
PWY.5898..superpathway.of.menaquinol.12.biosynthesis	strategy	DT	1.11584727222222	0.422437749626354	38	18	0.0122561514021977	0.0598128019206493
PWY.5899..superpathway.of.menaquinol.13.biosynthesis	strategy	DT	1.11584727222222	0.422437749626354	38	18	0.0122561514021977	0.0598128019206493
PWY.6182..superpathway.of.salicylate.degradation	season	rainy	0.636942210526316	0.24003571270101	38	36	0.0118980071505006	0.0598128019206493
PWY.6629..superpathway.of.L.tryptophan.biosynthesis	strategy	DT	-3.34993388888888	1.26561290987391	38	29	0.0120937304055973	0.0598128019206493
PWY.6703..preQ0.biosynthesis	strategy	DT	-6.44317333333332	2.42869357617185	38	38	0.0119153577723063	0.0598128019206493
PWY.7992..superpathway.of.menaquinol.8.biosynthesis.III	strategy	DT	-2.40350872222222	0.907612073066785	38	38	0.0120557722467101	0.0598128019206493
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I	strategy	DT	-2.07284866666666	0.787371019266505	38	38	0.0125240766385344	0.0605330370862497
PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis	season	rainy	1.50758947368421	0.573586023690014	38	38	0.0126553508956126	0.0608295871778063
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I	strategy	DT	1.18187015	0.451274516972606	38	18	0.0129493162060124	0.0608967843201664
PWY.5840..superpathway.of.menaquinol.7.biosynthesis	strategy	DT	1.18746976111111	0.453131220021385	38	18	0.0128979936500438	0.0608967843201664
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I	strategy	DT	0.806715772222223	0.307777599554787	38	18	0.0128818525634128	0.0608967843201664
